,companyname,positionname,salary,city,district,education,workyear,financestage,companysize,industryfield,workdescribe
0,爱奇艺,算法专家（NLP/音频等方向）-成都研发中心,30k-50k,成都,武侯区,本科,3-5年,上市公司,2000人以上,"广告营销,文化娱乐",
1,网信集团,Python开发工程师,8k-16k,成都,高新区,本科,1-3年,不需要融资,2000人以上,"移动互联网,金融",
2,小漫科技,python研发工程师,5K-8K,成都,高新区,本科,1-3年,天使轮,少于15人,"硬件,数据服务",
3,启发分期,python爬虫工程师,10k-18k,成都,高新区,本科,1-3年,不需要融资,50-150人,"移动互联网,旅游",
4,好房通科技,Python爬虫工程师,8k-15k,成都,高新区,本科,1-3年,上市公司,150-500人,电子商务,
5,PALMAX,Python开发工程师,10k-20k,成都,高新区,本科,1-3年,A轮,50-150人,移动互联网,
6,博雅成信,Python开发工程师,15k-25k,成都,高新区,本科,3-5年,不需要融资,500-2000人,金融,
7,梦思特,Python,10k-15k,成都,,本科,3-5年,不需要融资,50-150人,"移动互联网,游戏",
8,五舟汉云,Java讲师/Python讲师/云计算大数据教师,6k-12k,成都,高新区,本科,1-3年,未融资,15-50人,"移动互联网,数据服务",
9,壹未商贸,资深后端工程师（Python/Golang）,30k-50k,成都,高新区,本科,5-10年,未融资,15-50人,电子商务,
10,西游网,运维&amp;python开发工程师（高级）,8k-15k,成都,高新区,本科,1-3年,不需要融资,50-150人,游戏,
11,顺网科技,Python开发工程师,10k-20k,成都,高新区,大专,3-5年,上市公司,500-2000人,"游戏,文化娱乐",
12,俊云科技,高级python开发工程师,15k-25k,成都,高新区,本科,3-5年,不需要融资,50-150人,"移动互联网,硬件",
13,源代码,Python讲师,12k-20k,成都,武侯区,大专,3-5年,不需要融资,150-500人,教育,
14,通力互联,Python,9k-18k,成都,锦江区,大专,3-5年,不需要融资,2000人以上,"电子商务,企业服务",
15,网信集团,python工程师,10k-20k,成都,高新区,本科,3-5年,不需要融资,2000人以上,"移动互联网,金融",
16,俊云科技,Python开发工程师,10k-15k,成都,高新区,本科,1-3年,不需要融资,50-150人,"移动互联网,硬件",
17,PALMAX,Python开发工程师（成都）,10k-20k,成都,高新区,本科,1-3年,A轮,50-150人,移动互联网,
18,每日币读,高级Python开发,10k-20k,成都,锦江区,本科,3-5年,不需要融资,15-50人,移动互联网,
19,深圳博瑞得,Python开发工程师,10k-17k,成都,高新区,本科,3-5年,上市公司,150-500人,"移动互联网,数据服务",
20,四川长虹电器股份有限公司,python工程师,8k-15k,成都,高新区,本科,3-5年,上市公司,2000人以上,硬件,
21,公平价,Python,7k-14k,成都,武侯区,本科,不限,A轮,50-150人,"移动互联网,数据服务",
22,潭州教育-成都分公司,python在线讲师（可实习）,3k-6k,成都,高新区,不限,1年以下,A轮,2000人以上,教育,
23,比特大陆,python开发工程师-成都-01465,13k-25k,成都,高新区,本科,1-3年,不需要融资,150-500人,"移动互联网,硬件",
24,萌想科技,python开发工程师,10k-20k,成都,高新区,本科,3-5年,B轮,150-500人,招聘,
25,知道创宇,Python 工程师,10k-15k,成都,高新区,本科,1-3年,C轮,500-2000人,信息安全,
26,JHInno,Python C/C++ Linux 云桌面软件开发工程师,7k-14k,成都,高新区,大专,3-5年,不需要融资,50-150人,"企业服务,数据服务",
27,智库2861,python工程师,10k-20k,成都,高新区,本科,3-5年,天使轮,15-50人,"数据服务,移动互联网",
28,宽邦（BigQuant）,Python开发工程师,8k-16k,成都,高新区,本科,1-3年,天使轮,15-50人,"金融,数据服务",
29,上海易宝软件有限公司深圳分公司,python开发/自动化测试/web前端,9k-18k,成都,郫县,本科,1-3年,上市公司,150-500人,移动互联网,
30,网信集团,数字货币量化策略研究员（Python）,10k-20k,成都,高新区,硕士,不限,不需要融资,2000人以上,"移动互联网,金融",
31,深圳博瑞得,Python运维开发工程师,12k-16k,成都,高新区,本科,3-5年,上市公司,150-500人,"移动互联网,数据服务",
32,知道创宇,Python 研发工程师（偏全栈）,8k-16k,成都,高新区,不限,3-5年,C轮,500-2000人,信息安全,
33,成都钱方,Python开发工程师,10k-18k,成都,双流县,大专,3-5年,未融资,15-50人,移动互联网,
34,捷云智慧,Python,8k-10k,成都,高新区,本科,1-3年,不需要融资,15-50人,移动互联网,
35,新网银行,python后台开发工程师,13k-26k,成都,高新区,本科,3-5年,不需要融资,150-500人,金融,
36,善读数据,Python后端开发工程师,10k-20k,成都,高新区,本科,1-3年,不需要融资,15-50人,"移动互联网,招聘",
37,金证股份,PYTHON,10k-20k,成都,锦江区,不限,1-3年,上市公司,2000人以上,金融,
38,云禾网信,爬虫（python）工程师,7k-13k,成都,龙泉驿区,大专,1-3年,B轮,50-150人,移动互联网,
39,玖伍捌网络,Python讲师,10k-19k,成都,高新区,大专,3-5年,未融资,15-50人,"医疗健康,游戏",
40,零一深度,Python 高级爬虫工程师,10k-20k,成都,高新区,大专,3-5年,不需要融资,15-50人,"移动互联网,游戏",
41,源码时代,python高级开发工程师,15k-30k,成都,高新区,大专,3-5年,不需要融资,150-500人,移动互联网,
42,仁和安信,急招资深python工程师,5k-9k,成都,高新区,不限,1-3年,未融资,15-50人,"移动互联网,文化娱乐",
43,封面新闻,python应用开发工程师,9k-15k,成都,锦江区,本科,1-3年,A轮,150-500人,移动互联网,
