,companyname,positionname,salary,city,district,education,workyear,financestage,companysize,industryfield,workdescribe
0,亿盟恒信,海思嵌入式工程师,8k-15k,成都,高新区,本科,3-5年,A轮,50-150人,"移动互联网,电子商务",
1,成都油管家科技有限公司,硬件工程师,8k-10k,成都,高新区,大专,3-5年,A轮,50-150人,"移动互联网,电子商务",
2,云盯,嵌入式开发工程师,8k-12k,成都,武侯区,大专,3-5年,A轮,50-150人,"数据服务,移动互联网",
3,成都合涛网络科技有限公司,硬件工程师,6k-9k,成都,金牛区,大专,1-3年,未融资,15-50人,"社交网络,O2O",
4,德鲁伊科技,高级嵌入式工程师,10k-16k,成都,高新区,本科,5-10年,天使轮,15-50人,"数据服务,其他",
5,天软信息,嵌入式开发工程师,10k-15k,成都,高新区,本科,3-5年,未融资,50-150人,其他,
6,明瑞电子,RF射频硬件工程师,5k-9k,成都,青羊区,本科,1-3年,上市公司,150-500人,"硬件,其他",
7,北京世纪德辰,硬件研发工程师,7k-10k,成都,高新区,本科,1-3年,未融资,150-500人,"硬件,其他",
8,点阵科技,嵌入式Linux工程师,8k-15k,成都,武侯区,本科,3-5年,A轮,50-150人,"硬件,其他",
9,皓图智能,嵌入式工程师,8k-10k,成都,成华区,本科,3-5年,A轮,15-50人,"其他,移动互联网",
10,天象互动,IT硬件工程师,5k-10k,成都,高新区,大专,1-3年,不需要融资,500-2000人,"移动互联网,游戏",
11,Remark Holdings,硬件产品经理,15k-25k,成都,武侯区,本科,5-10年,上市公司,150-500人,"移动互联网,数据服务",
12,保利微电子,硬件工程师,8k-10k,成都,高新区,本科,3-5年,不需要融资,50-150人,其他,
13,瓦力特（walitetech）,硬件项目经理,12k-20k,成都,高新区,本科,3-5年,天使轮,15-50人,"移动互联网,数据服务",
14,多点Dmall,硬件高级工程师,10k-20k,成都,高新区,本科,5-10年,A轮,500-2000人,"电子商务,O2O",
15,亿盟恒信,linux研发工程师/嵌入式研发工程师,8k-15k,成都,高新区,本科,1-3年,A轮,50-150人,"移动互联网,电子商务",
16,明瑞电子,硬件工程师,5k-9k,成都,青羊区,本科,1-3年,上市公司,150-500人,"硬件,其他",
17,点阵科技,嵌入式硬件工程师,8k-15k,成都,武侯区,本科,3-5年,A轮,50-150人,"硬件,其他",
18,成都油管家科技有限公司,嵌入式软件工程师,10k-20k,成都,高新区,大专,3-5年,A轮,50-150人,"移动互联网,电子商务",
19,皓图智能,采购专员（偏硬件）,4k-7k,成都,成华区,本科,1-3年,A轮,15-50人,"其他,移动互联网",
20,保利微电子,嵌入式软件开发工程师,8k-15k,成都,高新区,本科,不限,不需要融资,50-150人,其他,
21,瓦力特（walitetech）,硬件开发工程师,10k-18k,成都,高新区,本科,3-5年,天使轮,15-50人,"移动互联网,数据服务",
22,传奇兄弟,硬件工程师,3k-5k,成都,,大专,不限,未融资,15-50人,"移动互联网,信息安全",
23,第六镜Glasssix,硬件开发工程师（成都）,10k-15k,成都,成华区,本科,1-3年,A轮,15-50人,"生活服务,硬件",
24,福誉科技,嵌入式软件工程师,6k-8k,成都,双流区,本科,1-3年,不需要融资,50-150人,"硬件,电子商务",
25,盛趣时代,嵌入式研发工程师(路由器方向),12k-18k,成都,武侯区,本科,3-5年,不需要融资,150-500人,"移动互联网,电子商务",
26,阳辰科技,嵌入式软件开发工程师,6k-9k,成都,武侯区,大专,1-3年,天使轮,50-150人,移动互联网,
